YUBI Glove Assy_PARTS LIST,,,,,,,,,
,,,,,,,,,YUBI Glove Assy_Right-handed
No.,PART No.,TYPE,PART NAME,Qty.,MATERIAL,REMARKS,FILE NAME (STL/STEP),,
1,UPPER PLATE_AS5601,3D-PRINTED ,UPPER PLATE_AS5601,1,PLA_BLACK,,UPPER PLATE_AS5601,,
2,UNDER PLATE,3D-PRINTED ,UNDER PLATE,1,PLA_BLACK,,UNDER PLATE,,
3,FINGER ATTACHMENT_R_Glove,3D-PRINTED ,FINGER ATTACHMENT_R_Glove,1,PLA_BLACK,,FINGER ATTACHMENT_R_Glove,,
4,FINGER ATTACHMENT_L_Glove,3D-PRINTED ,FINGER ATTACHMENT_L_Glove,1,PLA_BLACK,,FINGER ATTACHMENT_L_Glove,,
5,FINGER PAD_t30_R,3D-PRINTED ,FINGER PAD_t30_R,1,PLA_RED,Right,FINGER PAD_t30_R,,
6,FINGER PAD_t30_L,3D-PRINTED ,FINGER PAD_t30_L,1,PLA_RED,Left,FINGER PAD_t30_L,,
7,FINGER PAD_t20,3D-PRINTED ,FINGER PAD_t20,1,PLA_RED,reversible,FINGER PAD_t20,,
8,FLAP_R_AIRoA,3D-PRINTED ,FLAP_R_AIRoA,1,PLA_BLACK,,FLAP_R_AIRoA,,
9,FLAP_L_AIRoA,3D-PRINTED ,FLAP_L_AIRoA,1,PLA_BLACK,,FLAP_L_AIRoA,,
10,BRACKET_CAMERA,3D-PRINTED ,BRACKET_CAMERA,1,PLA_BLACK,,BRACKET_CAMERA,,
11,GRIP,3D-PRINTED ,GRIP,1,PLA_BLACK,,GRIP,,
12,HOLDER_Quest_R,3D-PRINTED ,HOLDER_Quest_R,1,PLA_BLACK,Right,HOLDER_Quest_R,,
13,COVER_PCB_R,3D-PRINTED ,COVER_PCB_R,1,PLA_BLACK,Right,COVER_PCB_R,,
14,COVER_CABLE_R,3D-PRINTED ,COVER_CABLE_R,1,PLA_BLACK,Right,COVER_CABLE_R,,
15,HOLDER_Quest_L,3D-PRINTED ,HOLDER_Quest_L,1,PLA_BLACK,Left,HOLDER_Quest_L,,
16,COVER_PCB_L,3D-PRINTED ,COVER_PCB_L,1,PLA_BLACK,Left,COVER_PCB_L,,
17,COVER_CABLE_L,3D-PRINTED ,COVER_CABLE_L,1,PLA_BLACK,Left,COVER_CABLE_L,,YUBI Glove Assy_Left-handed
18,MAGNET STAY_AS5601,3D-PRINTED ,MAGNET STAY,1,PLA_BLACK,,MAGNET STAY_AS5601,,
19,SPACER,3D-PRINTED ,SPACER,2,PLA_BLACK,,SPACER,,
20,MetaQuestTouchPlus_R,STANDARD,MetaQuestTouchPlus Controller_R,1,N/A,Right / Standard controller for YUBI (used with Quest 3S),,,
21,MetaQuestTouchPlus_L,STANDARD,MetaQuestTouchPlus Controller_L,1,N/A,Left / Standard controller for YUBI (used with Quest 3S),,,
22,USB CAMERA_ELP-USBFHD01M-L180,STANDARD,CAMERA,1,N/A,,,,
23,ESP32C6,STANDARD,PCB (ESP32C6),1,N/A,,,,
24,AS5601,STANDARD,PCB (AS5601),1,N/A,,,,
25,NEODYMIUM MAGNET,STANDARD,NEODYMIUM MAGNET_AS5601,1,N/A,Included with AS5601 sensor,,,
26,UNIVERSAL PCB,STANDARD,UNIVERSAL PCB,1,N/A,,,,
27,PIN HEADER,STANDARD,PIN HEADER,4,N/A,,,,
28,USB CABLE TYPE-C,STANDARD,USB CABLE TYPE-C,1,N/A,,,,
29,SSFRHQ8-15-F5-P5-T8-Q5-KC3-A12-QM2,STANDARD,SHAFT D8,2,SUS304,,,,
30,GEAKB1.0-30-6-A-8N-QFC17-M3,STANDARD,SPUR GEAR_z30,2,S45C,,,,
31,CB2-6,STANDARD,CAP BOLT,4,SCM435,,,,
32,CB2.5-4,STANDARD,CAP BOLT,2,SCM435,,,,
33,CB2.5-6,STANDARD,CAP BOLT,4,SCM435,,,,
34,CB2.5-10,STANDARD,CAP BOLT,4,SCM435,,,,
35,CB2.5-15,STANDARD,CAP BOLT,3,SCM435,,,,
36,CB3-6,STANDARD,CAP BOLT,1,SCM435,,,,
37,CBSTNR3-5,STANDARD,ULTRA LOW HEAD CAP BOLT ,2,SCM435,,,,
38,CBSTNR3-8,STANDARD,ULTRA LOW HEAD CAP BOLT ,4,SCM435,,,,
39,BFBJ2-4,STANDARD,CROSS-RECESSED FLAT HEAD MACHINE SCREW,1,SWCH,,,,
40,KEG3-6,STANDARD,PARALLEL KEY,2,S45C,,,,
41,LRLM3-6,STANDARD,KNURLED BOLT,1,SCM435,,,,
42,SB-264040,STANDARD,INSERT,7,BRASS,,,,
43,SB-304550,STANDARD,INSERT,2,BRASS,,,,
44,WSSAB10-5-1,STANDARD,WASHER,2,A2017,,,,
45,AJKTNS5-70,STANDARD,ADJUST BOLT,1,S45C,,,,
46,HNTT5-5,STANDARD,T-SLOT NUT,1,S10C,,,,
47,HYPER V SHEET,STANDARD,RUBBER SHEET_R,1,HYPER V SHEET,,,,
48,HYPER V SHEET,STANDARD,RUBBER SHEET_L,1,HYPER V SHEET,,,,
49,ELASTIC BAND,STANDARD,ELASTIC BAND (8-cord elastic),1,"RUBBER+
POLYESTER",,,,
